NOM_DEPT;CODE_DEPT;TP1850;TP1863;TP1867;TP1876;TP1881;TP1886;TP1891;TP1896;TP1996;TP2001;TP2006;TP2011;TP2016;TP2018
AIN;1;50,15347923;55,10040311;55,45466266;57,50595855;63,90640797;68,48545081;82,69988217;80,54502452;88,88141488;89,16430369;89,81151768;90,30851477;89,70244209;89,61935254
AISNE;2;77,07658552;73,50371224;73,05084096;71,59992715;75,81407195;76,55313162;89,24395947;88,5973975;92,43718055;92,28810055;92,19696586;92,65326686;91,7720959;91,41965394
ALLIER;3;58,07754969;43,35903475;44,94471902;54,30675188;65,42882545;69,47848478;73,66934573;73,52030055;90,90271132;91,41015996;91,2298586;91,59652503;90,8704361;90,32639038
ALPES(BASSES-);4;60,08019457;66,18236205;67,31538256;70,64627271;79,76978943;82,31227652;87,70165306;88,69755291;93,7073236;94,45531197;94,82427692;94,97713779;94,62174537;94,20087823
ALPES(HAUTES-);5;45,83647483;60,60142941;58,18903664;66,56663376;78,51052538;81,79924101;92,53401558;91,88926663;92,61652054;92,50704666;92,52387237;91,8284208;91,5551229;91,17526785
ALPES-MARITIMES;6;NA;58,12794085;56,8979509;53,36712826;61,1192353;67,65280491;79,82303091;77,51679884;90,55867986;90,38862806;90,15302057;89,51869813;89,22936155;88,93446974
ARDECHE;7;33,47064267;32,00111925;30,97743351;33,91180338;40,83673137;46,08174405;68,41845628;64,80761058;70,68886413;71,46192589;72,59949463;74,00588403;74,25105144;74,78852762
ARDENNES;8;78,33449649;74,16459142;72,54805042;72,98119109;77,08890443;78,80634591;89,64001274;89,85425888;93,38613861;93,06480828;92,6741471;92,71750433;91,7892385;91,51496332
ARIEGE;9;66,32034632;65,0293328;60,71177239;72,04855669;79,49904436;81,65044551;88,00082794;85,69465307;90,9648502;91,62757974;91,53140968;91,74242993;91,25892926;90,49791552
AUBE;10;80,16238754;71,5501886;70,19710411;68,86024638;73,94355637;75,48938922;84,22688423;83,5185461;90,78396354;90,89719687;91,89233818;91,99749613;91,1473917;90,61215015
AUDE;11;51,88260829;53,57255825;53,65418895;57,71559609;70,09998947;73,46146887;74,80579735;73,84662997;93,53729;93,20747309;93,38076757;93,03741857;91,94126181;91,71893464
AVEYRON;12;39,71985384;39,30516466;41,28261927;43,64404277;48,3168167;49,42192506;76,61203779;73,64335524;71,72156619;73,3004386;74,5300376;75,89383548;75,35562922;74,66901651
