RENTREE SCOLAIRE;NIVEAU GEOGRAPHIQUE;LIBELLE GEOGRAPHIQUE;NIVEAU D'ENSEIGNEMENT;CLASSE;SECTEUR D'ENSEIGNEMENT;CONTRAT DE L'ETABLISSEMENT;NOMBRE D'ELEVES
2009;FRANCE;FRANCE;PRE-ELEMENTAIRE;TRES PETITE SECTION;PRIVE;HORS CONTRAT;847
2009;FRANCE;FRANCE;PRE-ELEMENTAIRE;TRES PETITE SECTION;PRIVE;SOUS CONTRAT;28182
2009;FRANCE;FRANCE;PRE-ELEMENTAIRE;TRES PETITE SECTION;PUBLIC;PUBLIC;94240
2009;FRANCE;FRANCE;PRE-ELEMENTAIRE;PETITE SECTION;PRIVE;HORS CONTRAT;1806
2009;FRANCE;FRANCE;PRE-ELEMENTAIRE;PETITE SECTION;PRIVE;SOUS CONTRAT;92322
2009;FRANCE;FRANCE;PRE-ELEMENTAIRE;PETITE SECTION;PUBLIC;PUBLIC;713451
2009;FRANCE;FRANCE;PRE-ELEMENTAIRE;MOYENNE SECTION;PRIVE;HORS CONTRAT;1881
2009;FRANCE;FRANCE;PRE-ELEMENTAIRE;MOYENNE SECTION;PRIVE;SOUS CONTRAT;92480
2009;FRANCE;FRANCE;PRE-ELEMENTAIRE;MOYENNE SECTION;PUBLIC;PUBLIC;706261
2009;FRANCE;FRANCE;PRE-ELEMENTAIRE;GRANDE SECTION;PRIVE;HORS CONTRAT;1873
2009;FRANCE;FRANCE;PRE-ELEMENTAIRE;GRANDE SECTION;PRIVE;SOUS CONTRAT;94621
2009;FRANCE;FRANCE;PRE-ELEMENTAIRE;GRANDE SECTION;PUBLIC;PUBLIC;704864
2009;FRANCE;FRANCE;ELEMENTAIRE;CP;PRIVE;HORS CONTRAT;2011
2009;FRANCE;FRANCE;ELEMENTAIRE;CP;PRIVE;SOUS CONTRAT;107807
2009;FRANCE;FRANCE;ELEMENTAIRE;CP;PUBLIC;PUBLIC;708667
2009;FRANCE;FRANCE;ELEMENTAIRE;CE1;PRIVE;HORS CONTRAT;2054
2009;FRANCE;FRANCE;ELEMENTAIRE;CE1;PRIVE;SOUS CONTRAT;111128
2009;FRANCE;FRANCE;ELEMENTAIRE;CE1;PUBLIC;PUBLIC;713635
2009;FRANCE;FRANCE;ELEMENTAIRE;CE2;PRIVE;HORS CONTRAT;1981
2009;FRANCE;FRANCE;ELEMENTAIRE;CE2;PRIVE;SOUS CONTRAT;113665
2009;FRANCE;FRANCE;ELEMENTAIRE;CE2;PUBLIC;PUBLIC;699279
2009;FRANCE;FRANCE;ELEMENTAIRE;CM1;PRIVE;HORS CONTRAT;1999
2009;FRANCE;FRANCE;ELEMENTAIRE;CM1;PRIVE;SOUS CONTRAT;117447
2009;FRANCE;FRANCE;ELEMENTAIRE;CM1;PUBLIC;PUBLIC;700651
2009;FRANCE;FRANCE;ELEMENTAIRE;CM2;PRIVE;HORS CONTRAT;1939
2009;FRANCE;FRANCE;ELEMENTAIRE;CM2;PRIVE;SOUS CONTRAT;118019
2009;FRANCE;FRANCE;ELEMENTAIRE;CM2;PUBLIC;PUBLIC;670047
2009;FRANCE;FRANCE;ULIS;ULIS;PRIVE;HORS CONTRAT;71
2009;FRANCE;FRANCE;ULIS;ULIS;PRIVE;SOUS CONTRAT;3210
2009;FRANCE;FRANCE;ULIS;ULIS;PUBLIC;PUBLIC;40468
2009;REGION;AUVERGNE-ET-RHONE-ALPES;PRE-ELEMENTAIRE;TRES PETITE SECTION;PRIVE;HORS CONTRAT;108
2009;REGION;AUVERGNE-ET-RHONE-ALPES;PRE-ELEMENTAIRE;TRES PETITE SECTION;PRIVE;SOUS CONTRAT;3402
2009;REGION;AUVERGNE-ET-RHONE-ALPES;PRE-ELEMENTAIRE;TRES PETITE SECTION;PUBLIC;PUBLIC;10889
2009;REGION;AUVERGNE-ET-RHONE-ALPES;PRE-ELEMENTAIRE;PETITE SECTION;PRIVE;HORS CONTRAT;230
2009;REGION;AUVERGNE-ET-RHONE-ALPES;PRE-ELEMENTAIRE;PETITE SECTION;PRIVE;SOUS CONTRAT;11933
2009;REGION;AUVERGNE-ET-RHONE-ALPES;PRE-ELEMENTAIRE;PETITE SECTION;PUBLIC;PUBLIC;83470
2009;REGION;AUVERGNE-ET-RHONE-ALPES;PRE-ELEMENTAIRE;MOYENNE SECTION;PRIVE;HORS CONTRAT;265
2009;REGION;AUVERGNE-ET-RHONE-ALPES;PRE-ELEMENTAIRE;MOYENNE SECTION;PRIVE;SOUS CONTRAT;11956
2009;REGION;AUVERGNE-ET-RHONE-ALPES;PRE-ELEMENTAIRE;MOYENNE SECTION;PUBLIC;PUBLIC;82636
2009;REGION;AUVERGNE-ET-RHONE-ALPES;PRE-ELEMENTAIRE;GRANDE SECTION;PRIVE;HORS CONTRAT;252
2009;REGION;AUVERGNE-ET-RHONE-ALPES;PRE-ELEMENTAIRE;GRANDE SECTION;PRIVE;SOUS CONTRAT;12027
2009;REGION;AUVERGNE-ET-RHONE-ALPES;PRE-ELEMENTAIRE;GRANDE SECTION;PUBLIC;PUBLIC;82029
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CP;PRIVE;HORS CONTRAT;237
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CP;PRIVE;SOUS CONTRAT;13693
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CP;PUBLIC;PUBLIC;82392
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CE1;PRIVE;HORS CONTRAT;210
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CE1;PRIVE;SOUS CONTRAT;14000
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CE1;PUBLIC;PUBLIC;81613
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CE2;PRIVE;HORS CONTRAT;231
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CE2;PRIVE;SOUS CONTRAT;14545
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CE2;PUBLIC;PUBLIC;80144
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CM1;PRIVE;HORS CONTRAT;217
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CM1;PRIVE;SOUS CONTRAT;15057
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CM1;PUBLIC;PUBLIC;80439
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CM2;PRIVE;HORS CONTRAT;221
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CM2;PRIVE;SOUS CONTRAT;15098
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CM2;PUBLIC;PUBLIC;76199
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ULIS;ULIS;PRIVE;SOUS CONTRAT;352
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ULIS;ULIS;PUBLIC;PUBLIC;4508
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;TRES PETITE SECTION;PRIVE;HORS CONTRAT;2
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;TRES PETITE SECTION;PRIVE;SOUS CONTRAT;748
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;TRES PETITE SECTION;PUBLIC;PUBLIC;4521
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;PETITE SECTION;PRIVE;HORS CONTRAT;2
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;PETITE SECTION;PRIVE;SOUS CONTRAT;2009
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;PETITE SECTION;PUBLIC;PUBLIC;30397
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;MOYENNE SECTION;PRIVE;HORS CONTRAT;2
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;MOYENNE SECTION;PRIVE;SOUS CONTRAT;1984
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;MOYENNE SECTION;PUBLIC;PUBLIC;30377
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;GRANDE SECTION;PRIVE;HORS CONTRAT;7
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;GRANDE SECTION;PRIVE;SOUS CONTRAT;2127
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;GRANDE SECTION;PUBLIC;PUBLIC;31087
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CP;PRIVE;HORS CONTRAT;13
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CP;PRIVE;SOUS CONTRAT;2388
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CP;PUBLIC;PUBLIC;31047
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CE1;PRIVE;HORS CONTRAT;18
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CE1;PRIVE;SOUS CONTRAT;2524
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CE1;PUBLIC;PUBLIC;31374
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CE2;PRIVE;HORS CONTRAT;19
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CE2;PRIVE;SOUS CONTRAT;2693
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CE2;PUBLIC;PUBLIC;30551
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CM1;PRIVE;HORS CONTRAT;14
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CM1;PRIVE;SOUS CONTRAT;2894
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CM1;PUBLIC;PUBLIC;31193
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CM2;PRIVE;HORS CONTRAT;26
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CM2;PRIVE;SOUS CONTRAT;3006
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CM2;PUBLIC;PUBLIC;29871
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ULIS;ULIS;PRIVE;SOUS CONTRAT;78
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ULIS;ULIS;PUBLIC;PUBLIC;2088
